ClienteID,Income,Ubicacion,HaComprado,FrecuenciaCompra,CategoríaProductoFavorito,GastoMensual,Mes,Año,Edad,TiempoEnLaPlataforma,ValoracionesPromedio,NúmeroDevoluciones,Latitud,Longitud
1,31161.480790882026,London,1,3,Electrónica,131.5718605257502,Julio,2022,53,29,1.302420162467003,0,51.47889165313867,-0.17360359265563657
2,30880.90461026161,Tokyo,1,6,Moda,43.6555100891286,Abril,2022,55,28,2.4627229930454853,0,35.72669130612805,139.69939816124176
3,24237.173141699925,Beijing,1,2,Electrónica,188.7221450279832,Noviembre,2021,28,11,1.9015250720270633,1,39.93450118815264,116.41142788931874
4,22496.15803396413,Cairo,0,5,Libros,65.89068558228242,Agosto,2020,50,1,1.7833323365370801,2,30.03403126254982,31.21533258018998
5,30825.11399054669,Sydney,1,2,Electrónica,46.38453970985004,Mayo,2020,41,43,1.5632117955707043,1,-33.903655447806464,151.2025771484342
6,25720.35541085316,Cape Town,1,6,Libros,145.37083786488412,Julio,2021,40,19,3.4896545662639866,1,-33.913459999256865,18.42646634160546
7,29801.819289801904,London,0,4,Hogar,1.1042023874619544,Octubre,2020,32,9,4.125287422989221,3,51.504391537203354,-0.1275509123173068
8,27326.68629074968,Moscow,0,3,Hogar,1.5387104540800602,Marzo,2021,44,27,3.3131935976814426,4,55.753483887773314,37.630309312686165
9,21057.517475097517,Cape Town,1,5,Alimentos,49.45364737348612,Julio,2021,28,34,1.5878508383528387,1,-33.89655304399508,18.40180692497134
10,31786.52270968317,Mumbai,1,6,Moda,7.482513167639166,Noviembre,2022,68,44,4.244495079733884,0,19.09384911686506,72.86000997016664
11,27927.340973050545,London,1,3,Alimentos,22.863603832553245,Noviembre,2021,67,4,3.543818828654914,0,51.55449402496046,-0.16008464767773745
12,30400.993562704072,Moscow,1,4,Libros,82.75812868100617,Agosto,2022,34,36,2.552662824507982,4,55.766133419621205,37.64746842931913
13,25534.398631853885,Sydney,1,8,Alimentos,324.4901218851292,Mayo,2020,68,18,3.696521182144252,2,-33.86717167008023,151.21736452259097
14,28325.913763026332,Rio de Janeiro,1,4,Electrónica,169.74914851826256,Abril,2020,31,15,2.0396199169713314,0,-22.955750635886005,-43.13339347111487
15,37801.9007056644,London,1,10,Libros,143.7618201976125,Agosto,2020,44,13,2.380768833976842,2,51.53836750362659,-0.0827467179045591
16,30642.755000355406,Mumbai,1,4,Hogar,69.48325140732948,Agosto,2020,35,19,4.66994337252796,0,19.124252127225603,72.83631321390638
17,32747.88172531334,Mumbai,1,5,Moda,536.9264687172432,Marzo,2022,45,6,2.1620180226856816,1,19.04866906520749,72.88438927962495
