ClienteID,Income,Ubicacion,HaComprado,FrecuenciaCompra,CategoríaProductoFavorito,GastoMensual,Mes,Año,Edad,TiempoEnLaPlataforma,ValoracionesPromedio,NúmeroDevoluciones,Latitud,Longitud,Day_of_Week,Hour,Days_Since_Last_Purchase,Average_Days_Between_Purchases,Monthly_Spending_Std,Cancellation_Rate,Average_Transaction_Value,Cluster
1,31161.480790882026,Rome,1,3,Electrónica,1609.661883680665,Julio,2022,48,36.95522270483804,2.9384719076328056,2,41.91125207514188,12.501644241166282,Sunday,19,29.764254381808414,33.33793386107566,73.15443868829104,0.2712632392622982,257.47098641318576,0
2,30880.90461026161,Stockholm,1,14,Moda,1590.529688471195,Abril,2022,41,4.280328987643632,3.423618372451907,1,59.331134339377854,18.06244046738273,Thursday,1,3.0668459204796865,26.87527526778173,139.00390898582913,0.8882237232498623,35.3356951732279,2
3,24237.173141699925,Stockholm,1,2,Electrónica,1136.075713113899,Noviembre,2021,36,48.756502948984206,3.794706550477663,2,59.33263371303785,18.0710675913192,Sunday,11,28.63592146553153,54.07301157643308,32.05628077952837,0.1887231840335198,45.52470082206286,0
4,22496.15803396413,Madrid,0,0,Libros,1082.676565377448,Agosto,2020,37,1.419161155740741,3.8983509635353712,4,40.42294815022744,-3.7044128479207057,Sunday,20,209.22948250926865,12.07118880311142,64.07423091726427,0.311975537488802,184.95479903193203,1
5,30825.11399054669,Paris,1,11,Electrónica,1577.2414986880954,Mayo,2020,43,40.48908135259062,3.417591471270217,2,48.85774626415957,2.345577701084724,Wednesday,5,4.527617599267924,15.972214707152506,210.7125761731138,0.8280809188405358,92.81018983567432,2
6,25720.35541085316,Berlin,1,6,Libros,1350.9929040363468,Julio,2021,65,27.31579515312898,2.912596712038579,2,52.52077250770569,13.39290223622714,Saturday,10,21.91485974944511,21.025342495320157,23.431350510168738,0.0839454633852244,31.70307285924457,0
7,29801.819289801904,Madrid,0,0,Hogar,1453.4263878129452,Octubre,2020,24,30.888279523726933,3.642793856087097,2,40.435110463841625,-3.722653382718078,Friday,19,17.915152825440373,87.51355462951027,35.19015189402827,0.2681808881789455,186.2338388247285,1
8,27326.68629074968,Stockholm,0,13,Hogar,1371.094947400005,Marzo,2021,50,6.158690097956565,3.4496906188490124,0,59.32099932579779,18.067324920527145,Sunday,3,40.5010274506101,86.63951721669429,85.1991386335051,0.5887143847348535,244.0440983149749,2
9,21057.51747509752,Paris,1,5,Alimentos,1086.760623239254,Julio,2021,26,8.262277263392297,2.1198422008847886,1,48.86293229758024,2.349708672997341,Sunday,0,35.822232759050195,82.14021670422697,33.23874803787213,0.1277051895328171,54.88525712491583,1
10,31786.52270968317,Vienna,1,6,Moda,1618.3568969418411,Noviembre,2022,48,17.101096886699374,4.071314913158259,1,48.20373508263902,16.37496342367781,Wednesday,23,64.15544307102617,23.55476484618539,29.22624708972405,0.2219587771305331,237.5687993537973,0
11,27927.340973050545,Paris,1,13,Alimentos,1447.7802516525117,Noviembre,2021,43,4.134429452851797,3.657883583065154,3,48.850480093416486,2.3695147076050653,Sunday,0,13.364770269448472,38.85471948562423,106.32245114117312,0.7725134594484692,55.10632602300177,2
12,30400.993562704072,Stockholm,1,4,Libros,1449.1025610226993,Agosto,2022,46,20.8071946331612,3.941225623991536,1,59.33775290279208,18.06864743639944,Sunday,12,10.426862528012856,1.1978441605839232,8.681838578673043,0.0795188795925588,23.43418056459746,0
13,25534.398631853885,Madrid,1,8,Alimentos,1226.8570355138686,Mayo,2020,26,3.2398709610589123,3.132364740578598,1,40.4064730396411,-3.6895720551626017,Wednesday,19,23.599452263335625,13.697903492467173,44.02629882833976,0.3810345780144133,237.35826121297907,1
14,28325.91376302633,Vienna,1,12,Electrónica,1433.1308381926149,Abril,2020,60,3.4705533075278674,1.7216480934019998,2,48.198934258869656,16.373295380120872,Friday,0,49.83984597261086,68.1755286570157,65.60313062680865,0.992334869762254,64.96799538785669,2
15,37801.9007056644,Rome,1,10,Libros,1915.7189902730233,Agosto,2020,45,0.4795356377839036,3.5795419291725925,0,41.89952646788541,12.50481071770205,Sunday,6,60.538501421037445,135.3284113078333,3.6060373233594376,0.054843040469734,74.72206843272545,0
16,30642.75500035541,Amsterdam,1,4,Hogar,1491.4700246110287,Agosto,2020,37,2.4683077674259946,3.4957818383409864,3,52.357840060545456,4.905156297514367,Wednesday,19,89.0935014424299,19.4625961664614,68.8847806456439,0.4004638395665049,164.9584160566957,1
17,32747.88172531334,Berlin,1,8,Moda,1635.5169146536468,Marzo,2022,27,22.555372137915793,2.604664186196774,0,52.52962654324267,13.40440071950096,Saturday,0,21.48279710798711,6.299642122261508,193.0657798618197,0.9686940332485594,54.530180298749485,2
18,23645.6409656198,Paris,1,10,Libros,1277.3718794972826,Junio,2020,33,7.6228992517148875,3.190750227066697,2,48.84001612120651,2.371098455601116,Saturday,8,20.88553132653597,40.93904021732549,24.625485526475405,0.1967955295919656,65.5827451663651,1
